homeId,awayId,homeScore,awayScore,matchResults,matchAction,gameStartTime
1805,103,75,85,WIN,GAME SUMMARY,2022-07-05T19:00:00.000+00:00
1611,103,95,62,LOSS,GAME SUMMARY,2022-07-05T03:00:00.000+00:00
103,1089,77,54,WIN,GAME SUMMARY,2022-07-04T19:00:00.000+00:00
103,1207,74,80,LOSS,GAME SUMMARY,2022-07-03T17:00:00.000+00:00
227,103,92,91,LOSS,GAME SUMMARY,2022-07-02T17:00:00.000+00:00
1161,103,54,69,WIN,GAME SUMMARY,2022-07-02T03:00:00.000+00:00
1526,103,89,84,LOSS,GAME SUMMARY,2022-07-01T19:00:00.000+00:00
42,103,98,78,LOSS,GAME SUMMARY,2022-07-01T03:00:00.000+00:00
103,1438,76,71,WIN,GAME SUMMARY,2022-06-30T19:00:00.000+00:00
103,1604,97,49,WIN,GAME SUMMARY,2022-06-30T03:00:00.000+00:00
103,1207,90,91,LOSS,GAME SUMMARY,2022-06-29T19:00:00.000+00:00
227,103,79,81,WIN,GAME SUMMARY,2022-06-29T03:00:00.000+00:00
1161,103,65,79,WIN,GAME SUMMARY,2022-06-28T19:00:00.000+00:00
1526,103,79,66,LOSS,GAME SUMMARY,2022-06-28T03:00:00.000+00:00
42,103,94,92,LOSS,GAME SUMMARY,2022-06-27T19:00:00.000+00:00
379,1032,86,71,LOSS,GAME SUMMARY,2022-07-21T19:00:00.000+00:00
1032,1560,61,93,LOSS,GAME SUMMARY,2022-07-21T03:00:00.000+00:00
1032,1975,75,51,WIN,GAME SUMMARY,2022-07-20T19:00:00.000+00:00
1032,578,85,55,WIN,GAME SUMMARY,2022-07-20T03:00:00.000+00:00
1961,1032,54,85,WIN,GAME SUMMARY,2022-07-19T19:00:00.000+00:00
1524,1032,88,90,WIN,GAME SUMMARY,2022-07-19T03:00:00.000+00:00
1433,1032,77,74,LOSS,GAME SUMMARY,2022-07-18T19:00:00.000+00:00
1552,1032,61,95,WIN,GAME SUMMARY,2022-07-10T17:00:00.000+00:00
1032,1560,61,81,LOSS,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
1032,1209,54,107,LOSS,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
1032,171,74,86,LOSS,GAME SUMMARY,2022-07-08T19:00:00.000+00:00
1032,372,53,46,WIN,GAME SUMMARY,2022-07-08T03:00:00.000+00:00
1569,1032,55,83,WIN,GAME SUMMARY,2022-07-07T03:00:00.000+00:00
1331,1032,78,102,WIN,GAME SUMMARY,2022-07-06T19:00:00.000+00:00
349,1032,92,87,LOSS,GAME SUMMARY,2022-07-06T03:00:00.000+00:00
1552,1032,79,72,LOSS,GAME SUMMARY,2022-07-05T19:00:00.000+00:00
1032,1560,69,84,LOSS,GAME SUMMARY,2022-07-05T03:00:00.000+00:00
1032,1209,70,86,LOSS,GAME SUMMARY,2022-07-04T19:00:00.000+00:00
1097,1032,86,81,LOSS,GAME SUMMARY,2022-07-03T17:00:00.000+00:00
1032,71,80,81,LOSS,GAME SUMMARY,2022-07-02T17:00:00.000+00:00
1032,1559,77,70,WIN,GAME SUMMARY,2022-07-02T03:00:00.000+00:00
1032,678,67,89,LOSS,GAME SUMMARY,2022-07-01T19:00:00.000+00:00
1456,1032,40,67,WIN,GAME SUMMARY,2022-07-01T03:00:00.000+00:00
1163,1032,92,90,LOSS,GAME SUMMARY,2022-06-30T19:00:00.000+00:00
469,1032,76,66,LOSS,GAME SUMMARY,2022-06-30T03:00:00.000+00:00
1097,1032,91,79,LOSS,GAME SUMMARY,2022-06-29T19:00:00.000+00:00
1032,71,72,80,LOSS,GAME SUMMARY,2022-06-29T03:00:00.000+00:00
1032,1559,84,72,WIN,GAME SUMMARY,2022-06-28T19:00:00.000+00:00
1032,678,79,83,LOSS,GAME SUMMARY,2022-06-28T03:00:00.000+00:00
1456,1032,67,80,WIN,GAME SUMMARY,2022-06-27T19:00:00.000+00:00
1702,1041,81,74,LOSS,GAME SUMMARY,2022-07-21T19:00:00.000+00:00
267,1041,61,97,WIN,GAME SUMMARY,2022-07-21T03:00:00.000+00:00
1041,469,97,87,WIN,GAME SUMMARY,2022-07-20T19:00:00.000+00:00
1041,1210,91,90,WIN,GAME SUMMARY,2022-07-20T03:00:00.000+00:00
1041,2255,77,101,LOSS,GAME SUMMARY,2022-07-19T19:00:00.000+00:00
1523,1041,108,98,LOSS,GAME SUMMARY,2022-07-19T03:00:00.000+00:00
2266,1041,86,75,LOSS,GAME SUMMARY,2022-07-18T19:00:00.000+00:00
1041,208,77,76,WIN,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
1189,1041,70,75,WIN,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
1711,1041,0,0,WIN,DISABLED,2022-07-08T19:00:00.000+00:00
1100,1041,83,73,LOSS,GAME SUMMARY,2022-07-08T03:00:00.000+00:00
37,1041,102,105,WIN,GAME SUMMARY,2022-07-07T19:00:00.000+00:00
1041,264,84,100,LOSS,GAME SUMMARY,2022-07-07T03:00:00.000+00:00
1041,1779,72,57,WIN,GAME SUMMARY,2022-07-06T19:00:00.000+00:00
1041,208,93,86,WIN,GAME SUMMARY,2022-07-06T03:00:00.000+00:00
1189,1041,51,70,WIN,GAME SUMMARY,2022-07-05T19:00:00.000+00:00
1711,1041,96,94,LOSS,GAME SUMMARY,2022-07-05T03:00:00.000+00:00
1100,1041,75,65,LOSS,GAME SUMMARY,2022-07-04T19:00:00.000+00:00
1041,1453,96,79,WIN,GAME SUMMARY,2022-07-03T17:00:00.000+00:00
511,1041,59,77,WIN,GAME SUMMARY,2022-07-02T17:00:00.000+00:00
188,1041,61,91,WIN,GAME SUMMARY,2022-07-02T03:00:00.000+00:00
49,1041,76,73,LOSS,GAME SUMMARY,2022-07-01T19:00:00.000+00:00
887,1041,86,72,LOSS,GAME SUMMARY,2022-07-01T03:00:00.000+00:00
1041,730,98,54,WIN,GAME SUMMARY,2022-06-30T19:00:00.000+00:00
1041,118,67,87,LOSS,GAME SUMMARY,2022-06-30T03:00:00.000+00:00
1041,1453,91,84,WIN,GAME SUMMARY,2022-06-29T19:00:00.000+00:00
511,1041,85,92,WIN,GAME SUMMARY,2022-06-29T03:00:00.000+00:00
188,1041,66,82,WIN,GAME SUMMARY,2022-06-28T19:00:00.000+00:00
49,1041,82,91,WIN,GAME SUMMARY,2022-06-28T03:00:00.000+00:00
887,1041,88,87,LOSS,GAME SUMMARY,2022-06-27T19:00:00.000+00:00
1042,1252,110,74,WIN,GAME SUMMARY,2022-07-17T17:00:00.000+00:00
1042,817,81,79,WIN,GAME SUMMARY,2022-07-16T19:00:00.000+00:00
97,1042,87,89,WIN,GAME SUMMARY,2022-07-16T17:00:00.000+00:00
1499,1042,84,86,WIN,GAME SUMMARY,2022-07-16T03:00:00.000+00:00
203,1042,74,92,WIN,GAME SUMMARY,2022-07-15T19:00:00.000+00:00
1795,1042,109,93,LOSS,GAME SUMMARY,2022-07-15T03:00:00.000+00:00
1042,1578,87,83,WIN,GAME SUMMARY,2022-07-14T19:00:00.000+00:00
1042,1252,96,84,WIN,GAME SUMMARY,2022-07-14T03:00:00.000+00:00
1042,817,92,105,LOSS,GAME SUMMARY,2022-07-13T19:00:00.000+00:00
97,1042,98,91,LOSS,GAME SUMMARY,2022-07-13T03:00:00.000+00:00
1499,1042,84,68,LOSS,GAME SUMMARY,2022-07-12T19:00:00.000+00:00
203,1042,0,0,WIN,DISABLED,2022-07-12T03:00:00.000+00:00
1795,1042,73,88,WIN,GAME SUMMARY,2022-07-11T19:00:00.000+00:00
1042,1709,67,42,WIN,GAME SUMMARY,2022-07-10T17:00:00.000+00:00
1042,1803,77,98,LOSS,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
1042,1292,111,79,WIN,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
1042,1335,83,92,LOSS,GAME SUMMARY,2022-07-08T19:00:00.000+00:00
1042,525,111,79,WIN,GAME SUMMARY,2022-07-08T03:00:00.000+00:00
1042,1605,0,0,WIN,DISABLED,2022-07-07T19:00:00.000+00:00
1042,808,74,80,LOSS,GAME SUMMARY,2022-07-07T03:00:00.000+00:00
1042,1709,62,66,LOSS,GAME SUMMARY,2022-07-06T19:00:00.000+00:00
1042,1803,118,82,WIN,GAME SUMMARY,2022-07-06T03:00:00.000+00:00
1042,1292,99,91,WIN,GAME SUMMARY,2022-07-05T19:00:00.000+00:00
1042,1335,84,86,LOSS,GAME SUMMARY,2022-07-05T03:00:00.000+00:00
1042,525,74,56,WIN,GAME SUMMARY,2022-07-04T19:00:00.000+00:00
1044,1768,96,64,WIN,GAME SUMMARY,2022-07-17T17:00:00.000+00:00
735,1044,85,69,LOSS,GAME SUMMARY,2022-07-16T19:00:00.000+00:00
769,1044,49,71,WIN,GAME SUMMARY,2022-07-16T17:00:00.000+00:00
1401,1044,79,68,LOSS,GAME SUMMARY,2022-07-16T03:00:00.000+00:00
1832,1044,79,77,LOSS,GAME SUMMARY,2022-07-15T19:00:00.000+00:00
1044,1731,68,73,LOSS,GAME SUMMARY,2022-07-15T03:00:00.000+00:00
1044,1698,84,78,WIN,GAME SUMMARY,2022-07-14T19:00:00.000+00:00
1044,1768,77,82,LOSS,GAME SUMMARY,2022-07-14T03:00:00.000+00:00
735,1044,82,71,LOSS,GAME SUMMARY,2022-07-13T19:00:00.000+00:00
769,1044,72,63,LOSS,GAME SUMMARY,2022-07-13T03:00:00.000+00:00
1401,1044,94,84,LOSS,GAME SUMMARY,2022-07-12T19:00:00.000+00:00
1832,1044,80,63,LOSS,GAME SUMMARY,2022-07-12T03:00:00.000+00:00
1044,1731,78,81,LOSS,GAME SUMMARY,2022-07-11T19:00:00.000+00:00
105,1974,66,83,LOSS,GAME SUMMARY,2022-07-21T19:00:00.000+00:00
105,1087,93,98,LOSS,GAME SUMMARY,2022-07-21T03:00:00.000+00:00
105,2274,113,96,WIN,GAME SUMMARY,2022-07-20T19:00:00.000+00:00
1775,105,81,109,WIN,GAME SUMMARY,2022-07-20T03:00:00.000+00:00
941,105,82,89,WIN,GAME SUMMARY,2022-07-19T19:00:00.000+00:00
2233,105,97,117,WIN,GAME SUMMARY,2022-07-19T03:00:00.000+00:00
2246,105,76,78,WIN,GAME SUMMARY,2022-07-18T19:00:00.000+00:00
105,200,87,84,WIN,GAME SUMMARY,2022-07-03T17:00:00.000+00:00
105,455,106,87,WIN,GAME SUMMARY,2022-07-02T17:00:00.000+00:00
105,58,72,82,LOSS,GAME SUMMARY,2022-07-02T03:00:00.000+00:00
447,105,97,89,LOSS,GAME SUMMARY,2022-07-01T03:00:00.000+00:00
554,105,63,65,WIN,GAME SUMMARY,2022-06-30T19:00:00.000+00:00
798,105,90,75,LOSS,GAME SUMMARY,2022-06-30T03:00:00.000+00:00
1586,105,90,87,LOSS,GAME SUMMARY,2022-06-29T19:00:00.000+00:00
105,1433,105,86,WIN,GAME SUMMARY,2022-06-29T03:00:00.000+00:00
105,200,89,75,WIN,GAME SUMMARY,2022-06-28T19:00:00.000+00:00
105,455,70,91,LOSS,GAME SUMMARY,2022-06-28T03:00:00.000+00:00
105,58,68,57,WIN,GAME SUMMARY,2022-06-27T19:00:00.000+00:00
1270,1051,72,91,WIN,GAME SUMMARY,2022-07-17T17:00:00.000+00:00
1514,1051,69,65,LOSS,GAME SUMMARY,2022-07-16T19:00:00.000+00:00
1750,1051,81,94,WIN,GAME SUMMARY,2022-07-16T17:00:00.000+00:00
1051,1684,61,62,LOSS,GAME SUMMARY,2022-07-16T03:00:00.000+00:00
1051,1734,53,79,LOSS,GAME SUMMARY,2022-07-15T19:00:00.000+00:00
1051,1763,46,43,WIN,GAME SUMMARY,2022-07-15T03:00:00.000+00:00
1855,1051,88,65,LOSS,GAME SUMMARY,2022-07-14T19:00:00.000+00:00
1270,1051,56,72,WIN,GAME SUMMARY,2022-07-14T03:00:00.000+00:00
1514,1051,64,58,LOSS,GAME SUMMARY,2022-07-13T19:00:00.000+00:00
1750,1051,61,60,LOSS,GAME SUMMARY,2022-07-13T03:00:00.000+00:00
1051,1684,52,65,LOSS,GAME SUMMARY,2022-07-12T19:00:00.000+00:00
1051,1734,60,75,LOSS,GAME SUMMARY,2022-07-12T03:00:00.000+00:00
1051,1763,59,40,WIN,GAME SUMMARY,2022-07-11T19:00:00.000+00:00
1051,835,74,76,LOSS,GAME SUMMARY,2022-07-10T17:00:00.000+00:00
1051,32,63,69,LOSS,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
1219,1051,80,76,LOSS,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
1198,1051,68,59,LOSS,GAME SUMMARY,2022-07-08T19:00:00.000+00:00
596,1051,55,72,WIN,GAME SUMMARY,2022-07-08T03:00:00.000+00:00
1445,1051,96,76,LOSS,GAME SUMMARY,2022-07-07T19:00:00.000+00:00
1051,1381,74,88,LOSS,GAME SUMMARY,2022-07-07T03:00:00.000+00:00
1051,835,63,94,LOSS,GAME SUMMARY,2022-07-06T19:00:00.000+00:00
1051,32,78,71,WIN,GAME SUMMARY,2022-07-06T03:00:00.000+00:00
1219,1051,65,91,WIN,GAME SUMMARY,2022-07-05T19:00:00.000+00:00
1198,1051,71,45,LOSS,GAME SUMMARY,2022-07-05T03:00:00.000+00:00
596,1051,66,72,WIN,GAME SUMMARY,2022-07-04T19:00:00.000+00:00
244,1051,103,56,LOSS,GAME SUMMARY,2022-07-03T17:00:00.000+00:00
1570,1051,50,70,WIN,GAME SUMMARY,2022-07-02T17:00:00.000+00:00
30,1051,59,74,WIN,GAME SUMMARY,2022-07-02T03:00:00.000+00:00
1051,165,68,73,LOSS,GAME SUMMARY,2022-07-01T19:00:00.000+00:00
1051,1444,45,64,LOSS,GAME SUMMARY,2022-07-01T03:00:00.000+00:00
1051,760,74,75,LOSS,GAME SUMMARY,2022-06-30T19:00:00.000+00:00
1380,1051,55,79,WIN,GAME SUMMARY,2022-06-30T03:00:00.000+00:00
244,1051,60,63,WIN,GAME SUMMARY,2022-06-29T19:00:00.000+00:00
1570,1051,94,82,LOSS,GAME SUMMARY,2022-06-29T03:00:00.000+00:00
30,1051,58,81,WIN,GAME SUMMARY,2022-06-28T19:00:00.000+00:00
1051,165,78,83,LOSS,GAME SUMMARY,2022-06-28T03:00:00.000+00:00
1051,1444,50,65,LOSS,GAME SUMMARY,2022-06-27T19:00:00.000+00:00
1324,1058,75,94,WIN,GAME SUMMARY,2022-07-21T19:00:00.000+00:00
1058,1385,71,66,WIN,GAME SUMMARY,2022-07-21T03:00:00.000+00:00
1058,2165,75,50,WIN,GAME SUMMARY,2022-07-20T19:00:00.000+00:00
1058,1979,79,83,LOSS,GAME SUMMARY,2022-07-20T03:00:00.000+00:00
945,1058,70,60,LOSS,GAME SUMMARY,2022-07-19T19:00:00.000+00:00
1897,1058,73,65,LOSS,GAME SUMMARY,2022-07-19T03:00:00.000+00:00
41,1058,89,72,LOSS,GAME SUMMARY,2022-07-18T19:00:00.000+00:00
1058,254,91,73,WIN,GAME SUMMARY,2022-07-17T17:00:00.000+00:00
1058,1310,78,64,WIN,GAME SUMMARY,2022-07-16T19:00:00.000+00:00
1058,1187,78,79,LOSS,GAME SUMMARY,2022-07-16T17:00:00.000+00:00
1058,491,69,90,LOSS,GAME SUMMARY,2022-07-16T03:00:00.000+00:00
1058,1732,87,93,LOSS,GAME SUMMARY,2022-07-15T19:00:00.000+00:00
1058,395,91,67,WIN,GAME SUMMARY,2022-07-15T03:00:00.000+00:00
1058,1927,79,69,WIN,GAME SUMMARY,2022-07-14T19:00:00.000+00:00
