teamName,id
Oxeymoroncontee,190
Panenka United,723
Paris Dragonz,1749
Paris Foxes,1736
Paris Otters,379
Patron1,311
Patron2,1340
Patron3,1779
Patron4,1780
Patron5,1781
PatronAAA,1969
PatronFreshman,1805
PatronJV,1803
Patron Middle School,2236
PatronOfficial,205
Paul George,1821
Pavan,1820
paxag,295
Pears,2332
PeePeeHard,49
pei,384
PeiJingDuck,1184
peiling,1709
Perdro DreamTeam,471
Persian Empire,1395
Persona,1368
Phantom,1546
Phantoms,2226
Philadelphia Phalcons,419
PhoCapital,1087
phoenix,1891
Phoenix Sols,1007
Pink Cats,1432
Pioneer,1662
PirateKings,319
Pit21,456
PJH Alley Oops,1354
PJH Badass Boys,1293
PJH Basketball Boomers,1385
PJH Basketball Brothers,1473
PJH Chicken Noodle Hoop,212
PJH  Cobra Kai,1464
PJH Dunkers,1472
PJH Fast and Furious,1383
PJH  Hot Shots,1463
PJH I Will Bite You,1485
PJH Mini Michael Jordans,1483
PJH Net Rippers,1415
PJH On the Rocks,1461
PJH Oregon Ducks,1378
PJH Roaring Thunder,1405
PJH Showtime Shooters,1380
PJH Speed Demons,1390
PJH  Super Sonic Blast,1401
PJH The Ball Hawks,1466
PJH The Buzzer Beaters,1310
PJH The Eugene Giants,1477
PJH The Hoop Group,1289
PJH Thunder and Lightning,1388
PJH Trail Blazers,1359
PJH Tune Squad,1386
PJH We All Guard,1484
Pk,1317
Playground Heroes,1979
Pochacco,1882
Polka,139
Poochi Ballers,1041
Poole Partyy,1802
Portland Parrots,1597
Portland Pirates,1016
Portland SnailLasers,866
Potato Roasters,1421
Power Pebbles,1256
ppppppp,397
Prague Goats,1229
Prague Lions,1232
Prague LUNAtics,1230
Prague Seals,1228
Pumpkin Squad,760
Punks,1267
PVD Supa Sonicz,1334
qn77,497
qqnaruto1,435
Quack Ducks,2389
Quatro Team,64
Qyom,1419
Radioactive,1946
radki,1772
Raging Bulls,1504
RahSwish,839
Rainbow Blast,145
Raptors905,1913
Rara,1822
Rarrii,155
RAWR,1311
RCJH,1606
Realist Ballers,946
Rectal Rockets,1126
Red 5,240
Red Apes,364
reddragon,1727
Reefers,1417
REKT CAPITALS,646
RektMasters,359
Retest,1447
RichYRIch,1452
rinrin,349
RKSPROUD,1043
ROC,580
Rokets,491
Rome Dragonz,1216
Rome Gladiators,1423
Rough Riders,1554
ROVERSPARK JR,1092
ROVERSPARK TM,436
Rox Collective,320
RRocket,1282
RSP HS,961
Running Bulls,483
RVA Racing,1890
ryuryu,353
SaberDeity,1509
SafeSpaceDao,2388
saga,360
Sailors Sea Hoops,593
Sakamoto,1836
sakula,1787
Samurai Blue,395
San Diego Dragons,2361
San Diego Dragonz,1213
Saratoga Thoroughbreds,1738
SatoshiArmy,1849
Satoshi Army,1827
Senshis,402
sha,1409
Shadow Breakers,1215
ShadowFoxes,326
ShadowSide,1700
ShadowSide B,1926
ShadowSide Minors,1811
ShadowSide Minors B,1980
Shady Aftermath,1965
Shamballs,924
Shank,1101
ShaunsTake,452
Shin,498
shinonome,442
shiyu,43
Shmets,1103
SHOHOKU,1377
Shohoku High,314
Shottas,1755
Silent Assassins,67
SilverCountyNerds,1250
Sina Warriors,1358
Singapore Sting,1729
Singapore Stingers,1381
Singapore Swarm,1933
Singapore Three Arrows,1975
SirDigitalDanBalla,173
SlamPam,2114
Slayers,1253
sleepycat,1273
Slimes,1773
Smol Brains,2250
Smup 10,1290
Smup 11,1303
Smup 12,1304
Smup 13,1320
Smup 14,1321
Smup 15,1328
Smup 16,1333
Smup 17,1336
Smup 18,1507
Smup 19,1508
Smup 2,1122
Smup 20,1510
Smup 21,1512
Smup 22,1513
Smup 23,1514
Smup 24,1515
Smup 25,1516
Smup 26,1517
Smup 27,1519
Smup 28,1520
Smup 29,1521
Smup 3,1144
Smup 30,1522
Smup 31,1523
Smup 32,1524
Smup 33,1525
Smup 34,1526
Smup 35,1527
Smup 36,1528
Smup 37,1530
Smup 38,1531
Smup 39,1532
Smup 4,1147
Smup 40,1533
Smup 41,1534
Smup 42,1535
Smup 43,1536
Smup 44,1537
Smup 45,1538
Smup 46,1539
Smup 47,1540
Smup 48,1541
Smup 49,1543
Smup 5,1163
Smup 50,1544
Smup 51,1561
Smup 52,1563
Smup 53,1566
Smup 54,1567
Smup 55,1570
Smup 56,1571
Smup 57,1573
Smup 58,1575
Smup 59,1578
Smup 6,1227
Smup 60,1582
Smup 61,1585
Smup 62,1586
Smup 63,1587
Smup 64,1589
Smup 65,1590
Smup 66,1593
Smup 67,1592
Smup 68,1594
Smup 69,1595
Smup 7,1231
Smup 70,1600
Smup 71,1602
Smup 72,1603
Smup 73,1604
Smup 74,1605
Smup 75,1607
Smup 76,1702
Smup 77,1754
Smup 78,1764
Smup 79,1763
Smup 8,1233
Smup 80,1762
Smup 81,1761
Smup 82,1760
Smup 83,1767
Smup 84,1770
Smup 85,1771
Smup 86,1815
Smup 87,1819
Smup 88,1818
Smup 9,1286
SmupLegends,51
Snow fox,46
Solami Shooters,887
Solana Bidness,1364
Solana Summer,39
Solana Underdogs,1501
Solano Salami,1271
Sol Bol Minions,2113
SOL BROS,85
Sol City DeMons,956
solfreaky,347
SOLife,1274
Sol Snipers,2340
SOL Stupid,1775
Soluminati,2269
Solvent Boys,1248
Sommo FC,203
songoku,466
Sonics,1239
SoSo Sleep,754
Soup troop,1495
SOWK,1972
Space Cowboys,176
Specimen Research Lab 6,1962
Specimen Research Lab 7,1961
Spurwood Spurs,594
Squiddward,1672
Squirtle Squad,251
Steel City,1692
STELLA,292
sumafo3,1471
Supernatural junkies,1488
Swag,1434
Swaps Squad,1108
Sweetleaf,1599
Swipe Left,1897
Swipe Right,1828
Switch,2073
sya11,551
Sydney Titans,218
SZN Team,1351
TAKASHI,729
Tampines Lakers,761
Taylor Gang Danks,209
TC Tyrants,1088
Team 1,1712
Team 10k,162
Team Addiction,188
TeamFlowers,298
TEAM LFG,1723
Team Mikasa,119
Team Mombo,78
Team Nepal,1832
Team Rocket,1247
TEAM SLAMDUNK,267
Team Teeezee,755
teamtwerk,351
TeamX,1684
Team Zero,980
TeDeOhEm Eight,1118
TeDeOhEm Eleven,1121
TeDeOhEm Five,1113
TeDeOhEm Four,1111
TeDeOhEm Nine,1119
TeDeOhEm One,19
TeDeOhEm Seven,1117
TeDeOhEm Six,1115
TeDeOhEm Ten,1120
TeDeOhEm Thirteen,1131
TeDeOhEm Three,1110
TeDeOhEm Twelve,1123
TeDeOhEm Two,1105
TenInvestments,1491
test123,12
TestEr,1102
Testy Team,1677
Tets,1341
Teufel,2151
The Ancient Ones,1324
The Avengers,1713
The Awesome Cats,1063
The Basket Ballers,819
The Basketballs,450
The Batesketballers,1558
THE BIG THREE,1565
The Block Killers,1731
The Bracketeers,958
The B Team,42
The Conquistadors,66
The Finns,1150
The Flying Dutchmen,1769
The Goat,1922
The Gurungs,156
The Hangmen,183
The Lord Comets,1505
The Milky Ways,2209
The Monstars,76
The Moorish Empire,244
The Nation,1656
The No Hoopers,845
The poopy buttholes,1319
The Red Devils,1146
The rising dogs,823
The Tamangs,2216
The Three Belly Problem,1627
The Upstarts,1808
The Vahalis,2025
The Whitelist Whales,249
THE WILD,434
THE WILD WILD WEST,1564
The Young Goats,257
Thizzle Washingtons,1598
ThunderWolves,561
Thyssen Lions,949
Tiger,2385
titus,1260
TKS Burnt Blenders,1500
TKS Golden Goblets,1418
TKS IceBox,1678
TKS Lap Napkins,1498
TKS Rusty Shears,29
TKS Silver Spoons,1502
TKS Twisted Forks,1494
Tokyo Dragonz,1750
Tomato Dragon,1262
TONGTU,1798
Traadesgiving,284
Tradesgiving,283
Treasury,2033
TSGV,984
T STARS,1356
Tuck Frump,678
turtur,293
Tuvinci,2220
TYNELEBI,169
Typochki,381
UdiTeam,1708
UllyBay,1730
Underdogs by Far,305
Underdogs Drool,1583
Undertakers,256
unicorn slammers,717
unicorn slammers 2,2
United,994
Upset Squad,1042
Upset Squad 3,1044
Utility Realm,1482
Vaggmaxanga,152
[VBA] aloofart,612
[VBA] Brick,58
[VBA] Bull Mrkt Bag Holdrs,143
[VBA] D,57
[VBA] dead eyes,142
[VBA] ethos,647
[VBA] Its your girl Jenn,32
[VBA] jeffs 3pointers,194
[VBA] LeGameEngineer,69
[VBA] Moonshots,1067
[VBA] Patagoons,68
[VBA] rockyroad,885
[VBA] SD Clippers,1
[VBA] The Charles Barkys,1069
Vegas Blues,1156
Vegas Greens,1458
Vegas Knights,1149
Vegas Reds,1457
Vikings,1848
Virtual Ballers,2229
vitalik,312
Vitalik 2,89
W a day keeps da doc away,1559
Waisuke,1752
wake n bakers,1840
Wariat,1182
Warp Squad,1620
warricurry,1046
Warriors,1085
We Got Next,2103
Wellington Wolves,416
Western Whales,1892
WhakaWhire,2322
Whales,1277
Whale Sharks,1741
WHALESSSSSSSSSSSSSSSSSSSS,1553
WhiteDiamond Miners,1155
White Mambas,562
Wicked Games,1647
Wigglez,313
willchang,187
WillGetBuckets,502
WillGetBuckets2,1985
Williams 7,2210
WINCAT,1901
Wingers,1560
Wiselord,1363
wk55,508
WOLF,447
Wolfpack,546
wudi22,552
Wulanders TW1,459
ww88,511
wy66,554
Wyjay,1742
X Capital,1257
xiangxinxin,609
xiaoxing,1424
Xindoa,765
XPL,424
yakun,1936
YAMAO,1923
Yeah yeah yeahs,1669
Yellow Whales,366
Yoons,261
Young and Restless,1610
yumaro,1895
yy99,510
Z0Mb1E22,1622
zaad,1683
Zaviars Backdoor Entry,1645
Zebra Corps,1847
Zer0s Her0s,130
zhanshen,333
ZHIYU,1797
zKnow,1353
Zofy,1412
zrose,1467
ZSOSKIN,129
zzmanzz,361
